login_variance,claim_interval_std,session_duration_mean,income_deviation,claim_velocity_7d,is_fraud
592.688,0.0214,235.6588,0.3138,3.0,1
41.7334,145.1954,330.68,0.1091,1.0,0
45.4929,112.9409,221.27,0.164,0.0,0
66.4722,171.6696,336.85,0.0111,1.0,0
32.7595,87.5203,492.36,0.1194,1.0,0
64.9868,79.2242,147.02,0.1637,0.0,0
24.6672,151.1611,465.21,0.1741,1.0,0
21.472,144.9419,233.85,0.0335,0.0,0
35.663,30.2689,299.84,0.1004,0.0,0
17.5212,55.0767,365.86,0.0578,0.0,0
26.8071,163.0152,393.94,0.05,0.0,0
43.3369,164.954,499.3,0.0604,1.0,0
44.0144,176.488,440.17,0.0199,0.0,0
13.4916,235.1856,416.12,0.1578,0.0,0
45.0587,68.6088,266.5242,0.8538,2.0,1
12.3725,215.2463,270.97,0.1591,0.0,0
31.1386,147.0773,335.18,0.165,0.0,0
34.7645,173.6823,439.23,0.1552,0.0,0
19.4544,70.4813,412.11,0.0941,0.0,0
22.0844,61.8334,617.5,0.1691,0.0,0
9.2661,72.7638,226.51,0.1533,0.0,0
1.3447,0.232,15.4358,0.5887,6.0,1
57.1252,87.1382,442.74,0.0535,0.0,0
69.1223,72.455,230.07,0.1025,0.0,0
10.9645,123.7708,399.26,0.1875,0.0,0
1.3224,0.0634,9.0714,0.3894,3.0,1
38.5163,137.5849,231.48,0.1211,0.0,0
55.4103,105.5086,377.87,0.0398,1.0,0
22.4095,153.6563,298.93,0.1581,1.0,0
26.8896,20.9851,183.52,0.1156,0.0,0
59.5554,76.7953,524.01,0.0814,0.0,0
40.3585,79.6206,292.65,0.1552,1.0,0
69.209,106.8456,578.36,0.144,1.0,0
75.2996,147.2901,520.41,0.0635,1.0,0
38.4915,79.8228,215.02,0.0299,0.0,0
17.0236,166.089,370.95,0.0596,0.0,0
41.5766,81.8793,139.49,0.0444,0.0,0
45.3576,111.2383,238.0,0.089,1.0,0
30.7183,25.1037,389.59,0.1673,0.0,0
19.9319,166.6204,651.71,0.1645,0.0,0
69.9007,71.8224,628.09,0.0426,0.0,0
48.7522,49.505,590.92,0.0805,0.0,0
31.9271,187.9395,400.83,0.1325,0.0,0
23.3176,24.2802,611.47,0.104,0.0,0
55.0215,123.913,432.69,0.038,0.0,0
33.8581,52.5572,415.59,0.0981,0.0,0
9.8952,47.5502,344.15,0.1439,0.0,0
78.2961,162.3585,218.82,0.037,0.0,0
35.215,54.9628,271.19,0.0936,0.0,0
78.6382,67.4036,212.31,0.0404,0.0,0
17.6108,199.3878,277.59,0.1709,0.0,0
22.5794,65.9244,211.5,0.1103,0.0,0
69.0774,1.0494,334.6857,0.2273,5.0,1
848.8981,1.4802,86.0236,0.5135,3.0,1
51.2124,53.7748,431.69,0.0732,0.0,0
26.8556,223.29,518.28,0.1096,1.0,0
8.6539,49.4917,124.47,0.1966,1.0,0
18.7634,33.6386,230.7424,0.6798,1.0,1
21.7395,122.7035,217.95,0.0221,1.0,0
25.9623,175.7812,584.49,0.2251,1.0,0
62.0093,53.8442,216.63,0.0686,0.0,0
26.9316,142.9691,287.92,0.1324,1.0,0
56.3373,164.8382,293.05,0.2155,0.0,0
802.1787,0.7665,48.756,0.4749,4.0,1
37.9032,115.0625,204.76,0.1107,0.0,0
51.2097,110.4624,424.58,0.1596,0.0,0
54.2689,64.7164,300.95,0.1695,0.0,0
29.8082,55.8208,453.37,0.1658,0.0,0
33.809,34.5884,218.24,0.1092,0.0,0
10.3743,25.5259,400.44,0.0604,0.0,0
63.9427,55.0502,222.54,0.0575,0.0,0
62.3197,121.0335,465.68,0.1413,1.0,0
21.7965,220.8566,183.14,0.0518,1.0,0
58.6171,33.8791,503.16,0.1763,0.0,0
25.5269,203.1034,473.12,0.1059,0.0,0
55.4084,125.081,384.11,0.1641,0.0,0
28.1186,167.4432,546.42,0.1089,0.0,0
47.9887,164.8772,510.98,0.191,0.0,0
61.4647,43.3137,602.04,0.0415,0.0,0
13.0824,142.7969,288.9,0.1466,0.0,0
16.6857,155.2447,634.88,0.1657,0.0,0
57.6756,66.1155,599.75,0.1503,0.0,0
39.0993,180.0973,244.46,0.0383,0.0,0
41.1276,41.4452,562.82,0.1119,1.0,0
75.018,75.6324,232.14,0.0911,0.0,0
71.8902,126.8255,591.23,0.0841,0.0,0
51.1948,186.9377,525.56,0.1503,1.0,0
31.1002,1.0321,313.7512,0.1545,5.0,1
13.0115,70.2492,146.16,0.148,0.0,0
13.2305,106.4143,375.85,0.0394,0.0,0
48.1247,2.0095,277.7964,0.1343,3.0,1
60.4836,29.6345,206.07,0.1464,1.0,0
17.3418,126.4023,360.39,0.0718,0.0,0
59.1397,87.5292,352.02,0.0817,2.0,0
72.8178,69.3753,291.84,0.1655,1.0,0
51.0037,87.13,622.28,0.0992,0.0,0
31.9945,92.4784,505.31,0.0425,0.0,0
65.2442,114.5879,571.01,0.1329,0.0,0
18.3048,208.5913,290.29,0.0448,0.0,0
107.4815,1.1574,196.2369,0.183,3.0,1
16.3578,31.2211,641.21,0.0975,2.0,0
42.8807,32.0564,351.17,0.1415,0.0,0
23.3316,75.0857,291.41,0.1231,0.0,0
49.3292,72.6645,398.3,0.1745,1.0,0
22.8724,141.2003,474.32,0.1127,0.0,0
67.2566,155.7918,373.78,0.0942,0.0,0
12.7173,78.9793,512.29,0.1497,0.0,0
39.6897,187.7458,361.33,0.0023,0.0,0
62.2817,118.0067,181.35,0.1667,0.0,0
29.423,157.4167,365.77,0.1808,1.0,0
32.4071,59.8984,99.1256,0.8024,2.0,1
12.5497,179.8501,146.21,0.1132,1.0,0
25.4861,68.3967,225.32,0.0807,1.0,0
63.1366,152.5889,169.02,0.1868,0.0,0
26.4374,44.5684,506.41,0.0906,0.0,0
54.5174,33.957,489.43,0.078,0.0,0
25.0798,56.4412,393.25,0.0485,0.0,0
15.001,128.1863,499.76,0.1985,0.0,0
61.2649,31.5178,256.06,0.1692,0.0,0
10.1134,176.9623,211.44,0.1082,2.0,0
27.0963,61.939,172.88,0.0536,0.0,0
41.243,172.9002,487.51,0.0517,0.0,0
56.0059,103.9001,520.93,0.1195,0.0,0
35.7621,95.1348,594.9,0.0591,1.0,0
16.3093,116.1681,322.16,0.0149,0.0,0
39.3244,36.0619,86.8282,0.5254,2.0,1
54.1728,96.3943,321.77,0.0474,0.0,0
14.7516,76.9341,489.32,0.1776,0.0,0
20.0602,96.6367,161.96,0.0044,0.0,0
39.6211,151.6845,432.99,0.1346,1.0,0
48.3604,120.3689,174.59,0.1332,0.0,0
71.6279,138.8308,500.79,0.1625,0.0,0
27.7617,22.3614,540.93,0.0038,0.0,0
32.4728,131.685,551.12,0.1477,0.0,0
28.7154,101.9401,264.97,0.0297,0.0,0
38.4448,82.7193,495.5,0.2289,0.0,0
14.8696,29.6877,525.81,0.0753,0.0,0
45.5129,163.1628,516.16,0.0634,0.0,0
0.6924,0.1397,9.4094,0.5529,3.0,1
10.8579,40.0502,126.04,0.0937,0.0,0
49.5751,167.2852,253.28,0.0413,0.0,0
55.9897,167.6193,349.58,0.0334,0.0,0
57.0305,145.9042,252.86,0.133,1.0,0
1.0489,0.1027,8.0586,0.2925,5.0,1
67.6228,75.1281,149.22,0.1992,0.0,0
30.3039,91.3455,659.6,0.107,0.0,0
30.5315,186.2102,136.78,0.1467,0.0,0
43.0496,124.2026,337.84,0.1203,0.0,0
46.375,29.0837,186.687,1.0155,3.0,1
42.8949,203.7624,191.41,0.0444,0.0,0
35.4885,152.9519,205.46,0.1447,1.0,0
58.2992,224.6099,459.65,0.0519,1.0,0
48.4636,118.5854,470.92,0.1662,0.0,0
50.5609,163.5976,253.02,0.1865,0.0,0
66.8106,38.6067,561.79,0.1935,1.0,0
52.3885,35.0959,550.5,0.1071,1.0,0
54.3879,103.4565,546.26,0.0332,0.0,0
36.3653,0.9843,159.5106,0.2162,3.0,1
34.3047,1.1025,319.8087,0.4083,4.0,1
1.054,0.0409,3.0499,0.1405,3.0,1
37.1852,188.2713,432.67,0.0783,1.0,0
39.3946,67.8373,172.63,0.0604,1.0,0
68.5821,70.3704,582.62,0.0509,0.0,0
63.0189,160.5181,491.68,0.1864,0.0,0
48.1708,190.9771,459.96,0.0459,1.0,0
68.8313,69.4401,578.99,0.0844,0.0,0
19.7408,21.6151,281.92,0.0891,0.0,0
15.5414,157.6504,603.89,0.0339,0.0,0
69.6478,1.8538,202.5534,0.5517,3.0,1
27.6915,0.7964,226.1145,0.3711,5.0,1
975.7934,1.9883,107.0315,0.5434,4.0,1
25.2423,134.2458,300.16,0.0715,0.0,0
37.673,191.9016,324.42,0.1246,1.0,0
6.7361,178.0217,169.91,0.0931,1.0,0
71.4434,68.567,486.14,0.0352,0.0,0
54.7437,149.3931,200.98,0.0267,0.0,0
53.3947,102.634,149.15,0.0621,2.0,0
68.0164,171.3722,460.12,0.1146,0.0,0
51.5394,55.5149,155.21,0.1417,1.0,0
67.946,26.1678,370.46,0.0498,0.0,0
50.156,115.6926,493.9,0.097,1.0,0
63.992,165.5437,486.04,0.1348,0.0,0
47.4346,131.9695,541.39,0.0468,0.0,0
48.072,198.3522,459.68,0.22,1.0,0
54.9996,180.5327,504.76,0.1411,0.0,0
22.1453,74.3719,218.76,0.174,0.0,0
59.6647,191.7287,233.37,0.0519,0.0,0
67.9428,42.4389,584.74,0.0235,0.0,0
13.7588,117.7933,191.1,0.1269,0.0,0
13.0668,100.2464,235.75,0.1415,0.0,0
76.3219,130.5026,218.78,0.0367,1.0,0
37.6696,36.2736,174.19,0.1551,1.0,0
59.6543,107.5224,523.03,0.0607,0.0,0
55.8227,155.8941,235.15,0.125,0.0,0
60.1856,132.0515,385.78,0.052,0.0,0
39.5976,168.7536,433.63,0.0197,0.0,0
67.153,1.2491,266.8942,0.3818,5.0,1
17.4862,83.4911,486.26,0.0346,0.0,0
0.1784,0.1899,5.0524,0.3476,6.0,1
15.6766,151.9817,372.19,0.1914,0.0,0
47.4943,62.9224,385.34,0.2248,0.0,0
40.5649,59.8346,129.21,0.1416,0.0,0
62.7587,42.5599,294.91,0.0267,0.0,0
18.9941,36.6226,557.9,0.024,1.0,0
31.3081,180.4098,452.53,0.0634,0.0,0
19.2943,57.1082,435.35,0.0773,1.0,0
9.7933,86.0731,398.8,0.21,0.0,0
35.5949,72.1432,151.54,0.0393,0.0,0
27.835,131.5268,338.32,0.0608,0.0,0
0.4458,0.4757,5.666,0.4964,3.0,1
22.571,139.7378,308.24,0.0882,0.0,0
38.4706,119.82,380.78,0.1098,0.0,0
52.8173,98.9015,259.2,0.1701,1.0,0
41.1762,50.2485,136.43,0.167,0.0,0
71.9797,208.9125,153.48,0.0805,0.0,0
26.5506,61.63,588.67,0.155,1.0,0
32.1154,133.937,589.13,0.0325,0.0,0
14.3662,163.6641,479.77,0.0292,0.0,0
21.3615,79.993,117.75,0.1025,0.0,0
39.712,96.0279,249.08,0.0181,0.0,0
47.2757,21.5408,244.3904,0.7032,2.0,1
43.0,46.7536,642.31,0.029,0.0,0
31.2156,190.1688,379.88,0.0432,0.0,0
50.6918,146.9561,254.89,0.103,0.0,0
40.9653,96.814,265.39,0.0265,0.0,0
42.03,84.1613,171.37,0.0937,0.0,0
60.1687,199.9069,586.92,0.0079,0.0,0
50.9559,160.2309,354.26,0.199,0.0,0
11.5558,138.7846,238.24,0.0421,0.0,0
26.6086,156.6905,221.45,0.0238,1.0,0
35.7126,36.5136,155.62,0.1035,0.0,0
28.2427,109.256,198.73,0.0145,0.0,0
10.7399,90.5247,236.17,0.0669,0.0,0
10.235,104.3848,311.1,0.0637,0.0,0
20.1636,40.9644,548.06,0.0831,0.0,0
67.0694,149.8281,141.56,0.141,0.0,0
27.4532,194.6255,363.67,0.0643,2.0,0
45.1349,140.545,193.67,0.1486,0.0,0
17.6373,193.6402,350.98,0.0544,1.0,0
23.1447,165.9188,201.07,0.0894,0.0,0
0.7997,0.4426,3.6523,0.2115,3.0,1
17.6954,161.7007,425.52,0.1083,1.0,0
54.0373,137.7574,348.68,0.1773,1.0,0
22.3487,21.2979,461.44,0.0198,0.0,0
31.3241,44.5346,121.2616,0.4289,3.0,1
48.5624,118.5438,174.06,0.0151,2.0,0
24.9954,62.6388,541.27,0.0809,0.0,0
23.1072,157.7337,138.99,0.191,1.0,0
47.9453,216.7017,153.18,0.1459,0.0,0
63.7849,178.9869,244.3,0.0195,0.0,0
14.0485,212.7159,340.33,0.1285,2.0,0
34.7194,95.9122,342.61,0.0068,0.0,0
41.1581,119.2121,214.03,0.0346,1.0,0
0.4054,0.2688,3.5857,0.0541,3.0,1
68.8574,179.0852,175.17,0.1534,0.0,0
55.9186,198.9836,592.65,0.0683,0.0,0
70.0562,83.8882,171.64,0.19,0.0,0
51.9217,27.6773,191.17,0.1671,1.0,0
29.9694,144.0401,434.03,0.1413,0.0,0
52.162,102.9835,655.93,0.0824,0.0,0
25.9303,117.6992,515.87,0.1819,0.0,0
42.7778,102.918,536.95,0.0572,1.0,0
14.2245,35.9903,186.1,0.0574,0.0,0
56.2981,187.5143,397.8,0.1282,0.0,0
25.724,84.5564,409.27,0.1534,0.0,0
13.502,126.6268,218.57,0.1436,0.0,0
19.0551,38.5402,564.08,0.1143,0.0,0
62.4393,66.6853,466.4,0.1072,1.0,0
65.7571,177.9006,297.14,0.066,1.0,0
31.9188,76.2279,280.03,0.0952,1.0,0
52.1889,113.3099,300.56,0.0821,0.0,0
7.9033,106.351,135.47,0.045,0.0,0
45.6697,1.5303,141.6475,0.2534,5.0,1
44.8115,190.9578,141.74,0.1413,0.0,0
21.3517,140.2314,457.53,0.0989,0.0,0
41.7988,120.3349,469.12,0.1298,1.0,0
50.0603,29.866,405.56,0.099,0.0,0
12.3442,80.6898,391.82,0.0304,2.0,0
44.4725,54.9052,207.22,0.0302,0.0,0
68.6099,39.8933,616.92,0.1477,0.0,0
56.5238,100.244,534.26,0.1593,0.0,0
22.3179,121.8633,366.62,0.1266,0.0,0
59.9979,186.424,304.88,0.0509,2.0,0
19.6719,212.2278,361.35,0.1125,0.0,0
78.7698,106.033,429.57,0.1165,1.0,0
35.5419,23.9855,385.39,0.063,1.0,0
19.7703,108.452,483.25,0.0266,0.0,0
35.6142,95.021,473.31,0.1835,0.0,0
17.0715,47.4908,260.1794,0.7133,3.0,1
100.6247,0.7291,127.6115,0.3085,4.0,1
48.8679,116.2358,441.39,0.1643,0.0,0
9.6996,136.4156,238.68,0.1087,0.0,0
66.9389,156.6602,397.21,0.134,0.0,0
32.95,105.7066,356.31,0.1325,0.0,0
16.6141,50.1774,149.92,0.0484,0.0,0
22.5833,157.6172,330.39,0.2066,0.0,0
56.4392,162.7297,324.89,0.0823,0.0,0
62.8974,88.9002,412.39,0.1056,2.0,0
24.4319,29.2288,140.9,0.086,0.0,0
22.2465,107.0481,233.33,0.1514,0.0,0
25.6048,62.4945,222.6634,0.7967,3.0,1
47.2296,1.4479,338.6137,0.1798,5.0,1
29.9866,155.8234,330.38,0.0548,0.0,0
10.8258,139.2749,306.46,0.0757,0.0,0
253.3819,1.9028,182.6339,0.6168,3.0,1
33.8083,55.0738,142.98,0.0095,0.0,0
17.6077,76.0502,421.33,0.0246,1.0,0
57.2825,147.0572,282.59,0.002,0.0,0
44.4321,161.1627,187.26,0.0941,0.0,0
57.0732,21.1097,406.0,0.0849,1.0,0
0.7999,0.0837,13.4531,0.2404,4.0,1
37.2159,54.1872,173.89,0.1311,0.0,0
62.0208,98.8569,254.18,0.0658,0.0,0
19.6361,127.0476,344.75,0.046,1.0,0
923.3957,1.6992,102.9785,0.403,4.0,1
81.7297,1.0918,92.7496,0.3581,4.0,1
55.1155,186.5958,534.86,0.0338,0.0,0
68.1025,137.2624,327.34,0.1473,0.0,0
9.3174,180.2317,228.0,0.1908,0.0,0
56.7938,137.1846,294.7,0.0728,0.0,0
32.7855,83.1551,175.22,0.1061,0.0,0
29.98,127.872,617.75,0.0376,0.0,0
39.0851,170.7782,163.69,0.0811,0.0,0
17.5994,157.1216,238.41,0.0115,0.0,0
42.0116,173.177,302.44,0.1247,1.0,0
56.1897,136.3252,532.1,0.1358,0.0,0
25.5797,187.12,382.35,0.1697,1.0,0
22.5903,133.1425,166.89,0.0505,0.0,0
762.9424,0.8691,188.553,0.2316,4.0,1
32.4625,152.7117,195.68,0.2164,1.0,0
31.0576,151.7783,548.93,0.1979,0.0,0
53.2045,146.8968,529.62,0.0348,0.0,0
17.4912,91.8682,451.86,0.1141,0.0,0
31.306,171.5131,175.03,0.1748,1.0,0
41.3375,48.6594,488.97,0.0325,0.0,0
11.2829,97.1487,345.76,0.2325,0.0,0
63.3136,176.7539,173.55,0.0843,0.0,0
224.5737,0.4404,127.5587,0.2284,3.0,1
62.7699,63.3186,482.7,0.0638,0.0,0
13.453,192.5685,144.16,0.1321,1.0,0
41.532,76.9715,244.12,0.159,0.0,0
74.2744,53.5961,350.16,0.2157,2.0,0
18.4228,171.0844,454.24,0.0347,0.0,0
32.9528,162.8308,226.46,0.0469,0.0,0
65.1195,124.3528,364.84,0.0222,1.0,0
33.7533,44.8916,252.22,0.1544,0.0,0
14.2364,176.5962,402.19,0.1559,1.0,0
1.2896,0.45,13.0933,0.2973,3.0,1
53.5115,68.0778,426.89,0.197,0.0,0
28.0817,143.1338,404.17,0.1186,0.0,0
18.5894,135.5207,406.3,0.0876,0.0,0
746.0985,2.4427,115.9292,0.7461,4.0,1
16.6377,44.3551,163.98,0.0482,0.0,0
19.6564,119.0744,566.53,0.009,0.0,0
22.5272,45.5237,441.27,0.1399,0.0,0
58.2924,54.1046,327.03,0.0373,1.0,0
27.2011,149.3395,419.74,0.0449,0.0,0
37.4246,32.6365,124.31,0.1219,1.0,0
64.0242,161.2276,121.61,0.0743,0.0,0
46.5744,75.8318,443.63,0.0767,0.0,0
9.9822,115.6857,400.39,0.0527,1.0,0
36.8491,178.042,426.99,0.1753,0.0,0
35.3444,163.7163,603.99,0.1587,0.0,0
738.8105,0.4807,43.2544,0.3392,3.0,1
43.4908,143.9528,166.99,0.0877,1.0,0
14.6268,73.3866,150.84,0.155,0.0,0
24.9994,51.2312,344.87,0.2104,0.0,0
9.6984,32.9044,540.89,0.133,0.0,0
63.2557,24.3735,166.75,0.1354,0.0,0
52.4438,75.2738,413.22,0.2071,0.0,0
17.6564,119.3806,348.8,0.0141,0.0,0
45.9576,84.3202,568.77,0.1483,0.0,0
24.4046,175.6459,151.39,0.1646,0.0,0
18.0399,76.5556,519.16,0.0363,0.0,0
61.2611,27.9281,208.05,0.1652,1.0,0
13.5319,108.1483,358.73,0.0111,2.0,0
29.056,68.5251,512.13,0.1072,1.0,0
35.0649,59.5102,222.0545,0.6986,1.0,1
48.2985,170.58,308.94,0.1075,0.0,0
49.6479,101.0431,322.7101,0.9419,2.0,1
74.4085,87.2497,231.56,0.1079,0.0,0
49.6717,216.5432,229.01,0.1155,1.0,0
15.3656,158.6983,470.5,0.1431,0.0,0
34.1506,113.823,467.76,0.122,0.0,0
57.7316,73.4118,464.79,0.0478,0.0,0
66.7405,224.6115,328.63,0.04,0.0,0
64.9613,81.0852,202.9,0.0532,0.0,0
26.5464,21.9289,373.46,0.1338,0.0,0
46.4284,74.1786,399.92,0.0561,1.0,0
75.1566,172.7293,582.75,0.1568,1.0,0
44.8525,136.4752,141.31,0.1681,0.0,0
11.2371,71.6603,353.9,0.1927,1.0,0
7.1216,54.1013,206.09,0.0478,0.0,0
589.2054,1.9898,138.9406,0.4521,3.0,1
44.2799,172.7061,212.31,0.1868,0.0,0
65.0638,101.2947,215.1,0.1863,0.0,0
11.8361,82.0784,298.04,0.0455,0.0,0
21.7962,28.5387,293.53,0.1073,1.0,0
31.1272,179.1375,162.48,0.1555,0.0,0
61.1269,144.9712,168.68,0.1421,0.0,0
30.2078,195.2999,569.36,0.0704,0.0,0
33.9086,136.5075,495.9,0.1829,0.0,0
58.9364,29.176,222.45,0.0158,1.0,0
40.6866,182.3447,359.62,0.1476,0.0,0
62.0423,161.3108,301.46,0.1571,0.0,0
24.1394,188.085,204.76,0.0753,0.0,0
71.7183,156.7447,571.2,0.0617,0.0,0
46.1832,41.346,186.23,0.0297,1.0,0
18.5039,21.7059,305.92,0.2111,0.0,0
72.2235,119.9459,235.99,0.149,0.0,0
65.66,144.3714,171.19,0.0357,0.0,0
58.2346,174.4339,613.22,0.0344,1.0,0
45.7466,107.2164,397.63,0.1599,0.0,0
33.5691,99.9054,364.69,0.1303,1.0,0
65.0395,161.7587,447.59,0.1389,0.0,0
26.1662,22.0566,255.94,0.071,0.0,0
44.4776,62.2642,411.7,0.0974,0.0,0
41.3587,21.9341,303.22,0.0501,0.0,0
14.9129,43.5362,474.51,0.1311,0.0,0
443.6492,0.1783,142.6302,0.5797,2.0,1
45.4551,188.3174,591.29,0.1308,0.0,0
0.4356,0.1717,9.0383,0.3186,5.0,1
16.3119,185.5947,426.66,0.1935,2.0,0
54.9773,214.1835,312.19,0.2242,1.0,0
16.7136,151.9308,231.41,0.1066,1.0,0
10.3936,21.6795,256.6913,0.9511,3.0,1
37.6423,134.9597,218.48,0.1158,0.0,0
17.084,154.9784,714.4,0.1581,0.0,0
26.3543,1.1048,309.415,0.2314,4.0,1
49.9095,84.652,363.87,0.0838,0.0,0
36.4725,58.1724,510.92,0.026,0.0,0
69.8437,1.8619,276.4198,0.3182,3.0,1
55.544,104.1554,527.88,0.1213,0.0,0
15.7867,24.8781,284.7173,0.6191,1.0,1
0.9638,0.4098,11.9798,0.5527,6.0,1
27.3239,30.7423,552.71,0.0357,0.0,0
38.1714,163.1619,248.9,0.0246,0.0,0
35.8112,171.302,193.21,0.1195,0.0,0
55.811,131.7385,175.38,0.1294,2.0,0
33.4544,68.786,299.13,0.1588,0.0,0
29.2185,0.7305,281.6538,0.4488,3.0,1
7.3813,31.828,336.07,0.038,1.0,0
44.726,98.9202,115.52,0.0399,0.0,0
52.509,1.5705,169.4325,0.3031,5.0,1
39.3861,99.7522,246.6493,0.9143,3.0,1
42.226,120.5177,550.29,0.042,1.0,0
